,BR,DEP_TIME,FG,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindSpeed,RA,SN,Unnamed: 0,sky
1416,0.0,0.0,0.0,0.0,-10.0,11.0,0.0,38.0,0.0,30.29,10.0,8.0,28.0,0.0,0.0,0.0,1.0
1259,0.0,0.0,0.0,0.0,-10.0,8.0,0.0,43.0,0.0,30.38,10.0,5.0,18.0,0.0,0.0,0.0,0.0
16879,0.0,6.0,0.0,29.3,47.0,49.0,0.0,93.0,29.3,29.28,10.0,48.0,20.0,0.0,0.0,7376.0,3.0
96,0.0,0.0,0.0,0.0,-6.0,18.0,0.0,34.0,0.0,30.35,10.0,13.0,15.0,0.0,0.0,0.0,1.0
923,0.0,0.0,0.0,0.0,8.0,26.0,0.0,46.0,0.0,30.22,10.0,21.0,7.0,0.0,0.0,0.0,3.0
12647,0.0,9.0,0.0,30.48,18.0,32.0,0.0,56.0,30.47,30.45,10.0,27.0,0.0,0.0,0.0,2727.0,1.0
1035,0.0,0.0,0.0,0.0,-7.0,12.0,0.0,42.0,0.0,30.03,10.0,9.0,22.0,0.0,0.0,0.0,1.0
1063,0.0,0.0,0.0,0.0,2.0,14.0,0.0,58.0,0.0,29.59,10.0,11.0,31.0,0.0,0.0,0.0,1.0
991,0.0,0.0,0.0,0.0,-6.0,16.0,0.0,37.0,0.0,29.85,10.0,12.0,31.0,0.0,0.0,0.0,1.0
8811,1.0,0.0,0.0,0.0,28.0,30.0,0.01,92.0,0.0,29.96,2.5,29.0,9.0,0.0,1.0,0.0,2.0
14028,0.0,0.0,0.0,30.31,25.0,34.0,0.0,70.0,30.31,30.29,10.0,31.0,8.0,0.0,0.0,4137.0,4.0
16609,0.0,14.0,1.0,29.39,54.0,54.0,0.01,100.0,29.39,29.36,0.25,54.0,14.0,1.0,0.0,7061.0,5.0
1372,0.0,0.0,0.0,0.0,-9.0,13.0,0.0,36.0,0.0,30.24,10.0,9.0,23.0,0.0,0.0,0.0,1.0
17444,0.0,13.0,0.0,30.12,25.0,44.0,0.0,47.0,30.12,30.09,10.0,37.0,10.0,0.0,0.0,7978.0,1.0
4651,1.0,0.0,0.0,0.0,34.0,35.0,0.01,96.0,0.0,30.21,3.0,35.0,13.0,0.0,1.0,0.0,3.0
18842,1.0,9.0,0.0,30.16,50.0,50.0,0.08,100.0,30.16,30.14,0.5,50.0,20.0,1.0,0.0,9472.0,4.0
8758,1.0,0.0,0.0,0.0,28.0,30.0,0.01,92.0,0.0,29.96,2.5,29.0,15.0,0.0,1.0,0.0,1.0
16538,1.0,8.0,0.0,29.51,54.0,54.0,0.3,100.0,29.51,29.49,1.0,54.0,15.0,1.0,0.0,6979.0,3.0
11832,0.0,18.0,0.0,30.19,24.0,38.0,0.0,57.0,30.19,30.16,10.0,33.0,20.0,0.0,0.0,1911.0,1.0
18265,0.0,9.0,0.0,30.51,26.0,38.0,0.0,62.0,30.51,30.48,10.0,33.0,7.0,0.0,0.0,8869.0,1.0
4570,0.0,0.0,0.0,0.0,33.0,36.0,0.0,89.0,0.0,30.27,10.0,35.0,6.0,0.0,0.0,0.0,3.0
1028,0.0,0.0,0.0,0.0,4.0,15.0,0.0,61.0,0.0,29.59,10.0,12.0,28.0,0.0,0.0,0.0,1.0
1619,0.0,0.0,0.0,0.0,-3.0,13.0,0.0,49.0,0.0,30.55,10.0,10.0,8.0,0.0,0.0,0.0,1.0
17213,0.0,23.0,0.0,30.1,33.0,38.0,0.01,83.0,30.1,30.08,10.0,36.0,6.0,1.0,0.0,7747.0,4.0
1429,0.0,0.0,0.0,0.0,-10.0,10.0,0.0,39.0,0.0,30.35,10.0,7.0,22.0,0.0,0.0,0.0,0.0
461,0.0,0.0,0.0,0.0,6.0,24.0,0.0,46.0,0.0,30.35,10.0,19.0,17.0,0.0,0.0,0.0,1.0
19214,0.0,2.0,0.0,29.87,50.0,50.0,0.0,100.0,29.87,29.85,7.0,50.0,9.0,0.0,0.0,9892.0,1.0
1356,0.0,0.0,0.0,0.0,-6.0,9.0,0.0,50.0,0.0,30.19,10.0,6.0,25.0,0.0,0.0,0.0,2.0
6448,0.0,0.0,1.0,0.0,45.0,45.0,0.01,100.0,0.0,29.74,0.12,45.0,14.0,1.0,0.0,0.0,5.0
16723,1.0,10.0,0.0,29.46,56.0,56.0,0.1,100.0,29.46,29.44,1.0,56.0,18.0,1.0,0.0,7194.0,3.0
1097,0.0,0.0,0.0,0.0,-6.0,16.0,0.0,37.0,0.0,29.88,10.0,12.0,23.0,0.0,0.0,0.0,1.0
1169,0.0,0.0,0.0,0.0,-8.0,11.0,0.0,42.0,0.0,30.04,10.0,8.0,21.0,0.0,0.0,0.0,1.0
16871,0.0,15.0,0.0,29.74,30.0,44.0,0.0,58.0,29.74,29.72,10.0,38.0,25.0,0.0,0.0,7367.0,3.0
1045,0.0,0.0,0.0,0.0,-2.0,10.0,0.0,58.0,0.0,29.75,10.0,8.0,26.0,0.0,0.0,0.0,1.0
6613,0.0,0.0,0.0,0.0,30.0,44.0,0.0,58.0,0.0,29.72,10.0,38.0,18.0,0.0,0.0,0.0,1.0
8496,0.0,0.0,0.0,0.0,31.0,41.0,0.0,67.0,0.0,30.19,10.0,37.0,14.0,0.0,0.0,0.0,1.0
16562,0.0,15.0,1.0,29.35,53.0,53.0,0.01,100.0,29.35,29.33,0.12,53.0,9.0,0.0,0.0,7004.0,5.0
15108,0.0,8.0,0.0,29.76,35.0,41.0,0.0,79.0,29.76,29.74,10.0,38.0,10.0,0.0,0.0,5457.0,1.0
11839,0.0,0.0,0.0,30.15,19.0,33.0,0.0,56.0,30.14,30.12,10.0,28.0,11.0,0.0,0.0,1918.0,1.0
19297,0.0,7.0,0.0,29.96,43.0,51.0,0.0,74.0,29.96,29.93,10.0,47.0,15.0,0.0,0.0,9975.0,1.0
10499,1.0,21.0,0.0,29.62,54.0,54.0,0.01,100.0,29.62,29.59,3.0,54.0,0.0,0.0,0.0,533.0,2.0
19045,1.0,21.0,0.0,29.85,52.0,52.0,0.0,100.0,29.84,29.83,3.0,52.0,7.0,0.0,0.0,9721.0,1.0
16769,0.0,0.0,0.0,29.76,53.0,53.0,0.05,100.0,29.75,29.74,7.0,53.0,20.0,1.0,0.0,7251.0,1.0
16514,0.0,21.0,0.0,29.27,53.0,53.0,0.0,100.0,29.26,29.25,9.0,53.0,23.0,0.0,0.0,6953.0,1.0
4478,1.0,0.0,0.0,0.0,34.0,34.0,0.05,100.0,0.0,30.24,2.5,34.0,13.0,1.0,1.0,0.0,3.0
13115,0.0,0.0,0.0,30.12,18.0,29.0,0.0,63.0,30.12,30.09,10.0,25.0,7.0,0.0,0.0,3213.0,2.0
16724,0.0,22.0,0.0,29.25,52.0,53.0,0.0,96.0,29.25,29.23,9.0,52.0,21.0,0.0,0.0,7195.0,1.0
8976,0.0,0.0,0.0,0.0,11.0,26.0,0.0,53.0,0.0,30.11,10.0,22.0,22.0,0.0,0.0,0.0,1.0
